latitude,longitude,neighbourhood_cleansed,property_type,room_type,review_scores_rating,accommodates,bedrooms,beds,price,rating_bucket
42.01393,-87.68306,Rogers Park,Private room in rental unit,Private room,4.97,1,1.0,1.0,39.0,4.9-5.0
41.7919218,-87.61961769999999,Washington Park,Entire condo,Entire home/apt,5.0,4,1.0,1.0,95.0,4.9-5.0
41.9080259,-87.62638960000001,Near North Side,Entire rental unit,Entire home/apt,,2,1.0,1.0,107.0,No rating
41.89312,-87.62759,Near North Side,Private room in hostel,Private room,4.72,4,1.0,4.0,197.0,4.7-4.8
41.85172165532074,-87.67201120896677,Lower West Side,Private room in rental unit,Private room,4.66,1,1.0,1.0,31.0,4.6-4.7
41.88656635945366,-87.62413415766893,Loop,Entire rental unit,Entire home/apt,,4,1.0,2.0,122.0,No rating
41.94542430913235,-87.65544981717905,Lake View,Entire rental unit,Entire home/apt,4.97,12,5.0,8.0,346.0,4.9-5.0
41.68885718876015,-87.60632953615136,Pullman,Entire home,Entire home/apt,5.0,4,3.0,1.0,110.0,4.9-5.0
41.8482430098253,-87.68624016489929,Lower West Side,Entire rental unit,Entire home/apt,4.9,3,2.0,2.0,232.0,4.8-4.9
41.8805,-87.64267,Near West Side,Entire rental unit,Entire home/apt,4.87,4,1.0,1.0,155.0,4.8-4.9
41.95256,-87.6638,Lake View,Entire rental unit,Entire home/apt,4.94,5,2.0,2.0,376.0,4.9-5.0
41.856187,-87.66487509999999,Lower West Side,Entire rental unit,Entire home/apt,4.85,2,2.0,2.0,143.0,4.8-4.9
41.91968846609829,-87.67694388153029,Logan Square,Entire guesthouse,Entire home/apt,4.97,11,3.0,5.0,172.0,4.9-5.0
41.9054286,-87.6319398,Near North Side,Entire condo,Entire home/apt,5.0,3,1.0,1.0,175.0,4.9-5.0
41.886064,-87.624718,Loop,Entire rental unit,Entire home/apt,,2,1.0,1.0,138.0,No rating
41.94695449836975,-87.65615945993929,Lake View,Entire rental unit,Entire home/apt,5.0,4,2.0,2.0,110.0,4.9-5.0
41.9032387,-87.63486329999999,Near North Side,Entire rental unit,Entire home/apt,,4,1.0,2.0,210.0,No rating
41.9032387,-87.63486329999999,Near North Side,Entire rental unit,Entire home/apt,,4,2.0,3.0,297.0,No rating
41.9114,-87.65206,Lincoln Park,Entire rental unit,Entire home/apt,4.84,10,4.0,5.0,166.0,4.8-4.9
41.84635,-87.64148,Armour Square,Entire rental unit,Entire home/apt,4.79,2,1.0,1.0,66.0,4.7-4.8
41.888901108463465,-87.63225973610889,Near North Side,Private room in rental unit,Private room,4.71,2,1.0,1.0,80.0,4.7-4.8
41.846052101604826,-87.64723137946629,Bridgeport,Private room in rental unit,Private room,4.55,2,1.0,1.0,53.0,4.5-4.6
41.75547,-87.70742,Ashburn,Entire home,Entire home/apt,5.0,6,3.0,3.0,249.0,4.9-5.0
41.94527958965612,-87.6599414659398,Lake View,Entire rental unit,Entire home/apt,4.87,4,1.0,2.0,111.0,4.8-4.9
41.92030015783255,-87.63955036852249,Lincoln Park,Entire rental unit,Entire home/apt,3.0,2,0.0,1.0,85.0,2.0-3.0
41.93203591823272,-87.6540362257459,Lincoln Park,Entire rental unit,Entire home/apt,5.0,4,2.0,2.0,129.0,4.9-5.0
41.88261,-87.65188,Near West Side,Entire rental unit,Entire home/apt,4.94,2,1.0,1.0,168.0,4.9-5.0
41.88821,-87.71676,Humboldt Park,Entire rental unit,Entire home/apt,5.0,6,3.0,3.0,261.0,4.9-5.0
41.991283679596116,-87.66519778316565,Edgewater,Entire rental unit,Entire home/apt,4.95,4,1.0,2.0,122.0,4.9-5.0
41.901793668294474,-87.67758834465648,West Town,Entire condo,Entire home/apt,5.0,6,3.0,3.0,341.0,4.9-5.0
41.90092649904573,-87.63420549379292,Near North Side,Entire rental unit,Entire home/apt,4.88,4,1.0,1.0,275.0,4.8-4.9
41.9142468,-87.7316553,Hermosa,Entire home,Entire home/apt,4.96,16,6.0,9.0,331.0,4.9-5.0
41.9137127,-87.64136669999999,Lincoln Park,Entire home,Entire home/apt,5.0,6,3.0,4.0,295.0,4.9-5.0
41.77383570233633,-87.61385470325246,Woodlawn,Entire rental unit,Entire home/apt,5.0,6,3.0,3.0,134.0,4.9-5.0
41.857520163837094,-87.65870846807957,Lower West Side,Entire rental unit,Entire home/apt,,4,2.0,2.0,200.0,No rating
